  0.20000000000000001        8.7717702104576301E-002  0.49218278683200856       0.70429707490087079     
   4.0000000000000001E-002   7.4415408982821951E-002   1.7111570257100528E-002   3.7392996132856737E-004
   8.0000000000000002E-003   1.7464703565047923E-002   6.8095755887576104E-004   5.8129406665941019E-007
   1.6000000000000001E-003   3.6006311983358685E-003   2.7232727219494990E-005   9.2894403280752158E-010
   3.2000000000000003E-004   7.2447334173419975E-004   1.0893000048639578E-006   1.6768808563938364E-012
   6.3999999999999997E-005   1.4506887739607066E-004   4.3571570795819525E-008   2.0206059048177849E-013
   1.2799999999999999E-005   2.9020739283236452E-005   1.7482548742009385E-009   7.0263794782476907E-012
   2.5600000000000001E-006   5.8045360180614125E-006   5.2091664315412345E-013   1.0067147115933039E-010
   5.1200000000000003E-007   1.1613751622618906E-006   8.6215479200291156E-011   1.7656587303349625E-010
   1.0240000000000000E-007   2.3264758119978524E-007   6.2831650993189214E-010   5.3796611609868705E-010
   2.0479999999999999E-008   5.0501616222220491E-008   1.7125181273058843E-009   1.2607674904074884E-009
   4.0959999999999999E-009   3.9659594275320842E-008   1.2554540074205534E-008   2.1589558585333180E-008
