  0.975449741               1
   1.11258507               2
   1.12528324               3
   1.15370846               4
   1.16905057               5
   1.16774786               6
   1.18257642               7
   1.18491578               8
   1.18484056               9
   1.18765116              10
   1.18104374              11
   1.18628252              12
   1.18733907              13
   1.19000828              14
   1.19373858              15
   1.19345403              16
   1.19642973              17
   1.21239042              18
   1.21612585              19
   1.21350813              20
   1.22554410              21
   1.22169280              22
   1.21969581              23
   1.22024083              24
   1.21854174              25
   1.22952235              26
   1.22380948              27
   1.24159789              28
   1.23461211              29
   1.25130022              30
   1.26028728              31
   1.27253103              32
   1.27653384              33
   1.28409791              34
   1.29440093              35
   1.31114197              36
   1.32013941              37
   1.31204760              38
   1.31743264              39
   1.33237219              40
   1.33745217              41
   1.34071302              42
   1.36813807              43
   1.36012340              44
   1.37190068              45
   1.37520432              46
   1.37827754              47
   1.39572072              48
   1.40090942              49
   1.43374038              50
   1.43921435              51
   1.46231580              52
   1.45915878              53
   1.48786533              54
   1.49864888              55
   1.50972068              56
   1.52440715              57
   1.53356123              58
   1.55045974              59
   1.54321122              60
   1.57084310              61
   1.57304502              62
   1.57720673              63
   1.58150971              64
   1.59645021              65
   1.59378350              66
   1.59580958              67
   1.61070311              68
   1.61424088              69
   1.59764755              70
   1.60229206              71
   1.62404668              72
   1.61858439              73
   1.61899233              74
   1.62850738              75
   1.64487183              76
   1.65917623              77
   1.67520964              78
   1.68313515              79
   1.69680262              80
   1.70863986              81
   1.70822906              82
   1.72056043              83
   1.72499800              84
   1.72075021              85
   1.73495960              86
   1.74933624              87
   1.76420188              88
   1.75171518              89
   1.75402975              90
   1.77745068              91
   1.78352165              92
   1.78963792              93
   1.79337680              94
   1.81217301              95
   1.81983685              96
   1.81430030              97
   1.82272375              98
   1.83518004              99
   1.83763421             100
   1.83763421             100
