   1.5707963267948966       0.22138499287162072        1.9743221691457091E-002   4.5664290903178695E-002
  0.78539816339744828        5.3301034320999974E-002   3.5310839669634442E-003   2.4502747853305529E-003
  0.39269908169872414        1.3487910598248720E-002   2.5375817086514818E-004   3.5269784458558107E-005
  0.19634954084936207        3.5419682503272654E-003   1.6331573056527215E-005   5.0313320248962512E-007
   9.8174770424681035E-002   9.7631180601642775E-004   1.0278872869529110E-006   7.6415691552256249E-009
   4.9087385212340517E-002   2.8985850904422739E-004   6.4354059803317654E-008   1.1851175596433450E-010
   2.4543692606170259E-002   9.5378250322852853E-005   4.0238615217624840E-009   1.8481882690934981E-012
   1.2271846303085129E-002   3.5302838158279837E-005   2.5151858373817504E-010   2.8477220581635265E-014
   6.1359231515425647E-003   1.4554938981226062E-005   1.5721035584448373E-011   2.3314683517128287E-015
   3.0679615757712823E-003   6.5033552009707840E-006   9.8271391024695731E-013   3.3306690738754696E-016
   1.5339807878856412E-003   3.0581493863923725E-006   6.1728400169158704E-014   1.0547118733938987E-015
   7.6699039394282058E-004   1.4806926623145422E-006   3.6082248300317588E-015   2.5535129566378600E-015
